document_id,lon,lat,title,description,summary
1147027,55.364058,-21.021794,Parking des Cryptomérias,"Accès depuis Saint-Paul en 45min, route en excellent état.",Parking de départ pour plusieurs circuits à pied sur le N du Maido.
1186548,-0.358589882246516,42.7792827163914,Formigal - Village,,"Se garer à proximité de l'hôtel HG Alto Aragon, ensemble de bâtiment le plus au N qui domine le village."
1587979,170.816308048891,-43.8580685135457,Fox Peak ski field,,
952546,14.5102877376583,46.0578936306346,Ljubljana,,"Ljubljana est la capitale de la Slovénie. Nombreux parcs. 

Il y a sur la commune bon nombre de collines où l'on peut randonner et/ou grimper.  "
44261,7.14997599999999,44.2025559999959,Col de la Lombarde,"[img=439892 right]col de la Lombarde[/img]
",
233431,6.885,45.901389,Plan de l'Aiguille,,"- Gare de téléphérique.

* Point de départ de plusieurs courses d'alpinismes dans les Aiguilles de Chamonix.
* Point d'arrivée et de départ de randonnées pédestres.
"
274281,-77.87148,-6.227379,Chachapoyas,"Ville de la région d'Amazonas, éponyme d'une culture pré-inca.",
302492,2.56115555763245,45.0162955386051,Lac des Graves,"Lac des Graves

Falaise à proximité : 

Voies d'escalades, min 6b

Via ferrata : 3 parcours, AD D TD

Voie escalade commerciale, TA",
315696,5.21905599999999,45.203238,Dionay ,"Tout petit village de l'Isère situé à une vingtaine de kilomètres au NW de St-Marcellin, entre Grenoble et Valence. C'était autrefois un arrêt pour l'ancien tram qui allait de St-Marcellin à Lyon. La voie débarassée de ses rails offre maintenant sur celle-ci une amusante randonnée culturelle.",
362658,5.26873400000001,45.595731,Bourgoin,,
449533,10.15244,46.77552,Guarda,,
459915,7.06846799999999,44.025507,Col de la Sinne,,
535423,-0.339803999999993,42.976486,Col d'Aubisque,"On peut y monter en voiture en été. C'est généralement un endroit surfréquenté, sauf à l'aube, moment où l'on peut profiter d'une vue magnifique sur le Lavedan, jusqu'au Montaigu.

##Panorama
[Vue de l'Aubisque](https://www.panorama-photo.net/panorama.php?pid=5219) par Jörg Nitz",
552758,11.24765,46.738328,,,
576714,5.45638899999999,43.24,Col de la Gineste (parking),"Col routier situé dans le Parc national des Calanques sur l'axe routier (D559) Marseille-Cassis.
Au col, parking à droite et à gauche sous les pins. Attention ! Ne pas laisser d'objets pouvant susciter la convoitise dans les voitures.
Depuis la mise en place de la ligne L78 directe (en remplacement du car M8), le col n'est plus desservi par les bus (ni l'ancien arrêt ""Carpiagne"" tout proche)  
Départ sentiers rouge ou vert vers le col Ricard. ",
581286,6.69491599999999,45.455546,Champagny-en-Vanoise,,"##Panorama
[Vue de Champagny](https://tour.klapty.com/LTf02IFKNz/?deeplinking=true&startscene=0&startactions=lookat(15.68,16.7,105.72,0,0);) par Christian Gonthier"
619028,8.437778,46.846667,Tüfelstein,Accès à Rugghubelhütte,
665428,5.86710200000001,45.483491,Col du Mollard,,
676110,-63.157867,-17.938977,Lomas de Arena,,
699357,6.48027200000001,44.855992,Puy Aillaud,"Puy Aillaud, petit hameau au-dessus de Vallouise et Pelvoux.",
726512,0.0078580000000029,42.968172,Col de la Moulata,"Du col de Tramassel la piste qui rejoint la crête pour atteindre le parking au terminus au pied des téléskis de Naouit.
Cette portion de piste n'est accessible qu'à la belle saison, l'hiver le terminus étant le col de Tramassel.",Légère dépression sur la crête du Hautacam.
753999,8.13268500000001,46.403167,Fiesch,Village de la vallée de Conches.,
1215237,5.1369279026112,43.3896005477331,Parking Vallon du Grand Gargo,"Stationnement sur le bas côté de la route vers la barrière avec le repère ""D""",
104205,6.92693,44.7942399999959,Abriès,"
",
104206,6.87005,44.7821099999959,Aiguilles,"* En train jusqu'à la gare SNCF de Guillestre-Montdauphin (depuis Veynes-Gap) puis en bus jusqu'à Aiguilles.
* [Horaires](http://www.queyras.com/uploads/_queyras_hiver_fr/T_ani_pdf/horaires_navettes_gare_hiver_2010.pdf)
* Pour le service de réservation à la demande et obtenir plus d'informations, consulter http://www.05voyageurs.com/ 

!!! Service de réservation à la demande pour certains horaires.

## Hébergement, restauration et patrimoine culturel à proximité
Emplacement de bivouac en prenant à gauche juste à l’entrée d'Aiguilles, au bout de la route: terrasse plate, fontaine, panorama, et soleil assez tôt le matin :-) ",
104209,6.42059,45.2068159999959,Albanne,"Vallée de la Maurienne >> St Jean de Maurienne
Prendre la route de la station des Karellis. Après Montricher prendre à gauche en direction d'Albanne. Se garer sur le grand parking à l'entrée du village. On chausse 100 m plus loin, au pied du téléski.
## Hébergement, restauration et patrimoine culturel à proximité
Excellent accueil à l'Auberge Narcisse (du nom du père de l'actuelle propriétaire) dans Albanne.",
104210,6.34110199999999,45.2186149999959,Albiez le Vieux,"**Départ d'Albiez le Jeune.** 
En venant d'Albiez-Montrond, juste après avoir traversé le village d'Albiez le Jeune, prendre à droite une voie sans issue et se garer avant la prochaine patte d'oie (y  faire demi-tour). Si la route est trop enneigée, se garer dans le centre du village et couper un champ à ski pour rejoindre la route sans-issue. ",
104211,6.75694399999999,46.2147219999959,Ardent,,
104212,6.95995999999999,45.948085,Téléphérique des Grands Montets,"[img=545074 right]Grands Montets gare supérieure (photo qui n'est plus d'actualité escalier et gare seront démolis et remplacés[/img]
Le départ du téléphérique de Lognan/Grands Montets se situe au village d'Argentière à 8 km de Chamonix en direction de la Suisse.

Le téléphérique comporte deux tronçons Argentière/ Lognan ; Lognan/Grands Montets. Depuis la gare supérieure au sommet de l'Aiguille des Grands Montets départ de nombreuses courses sur le bassin d'Argentière sans oublier les Drus en descendant direction Mer de Glace.
Précisions concernant les heures d'ouverture, les réservations... 
 [ici](https://www.montblancnaturalresort.com/fr/)

En hiver et au printemps toujours beaucoup de monde pour le 2<sup>e</sup> tronçon.

!!!Les 2 tronçons du téléphériques des Grands Montets sont fermés suite à un incendie à la gare de Lognan en septembre 2018, le domaine skiable reste accessible avec les autres remontées mécaniques mais l'accès à l'Aiguille des Grands Montets et aux pistes desservies depuis ce sommet resteront fermées pour toute la saison 2020 et certainement 2021, 2022... Prévision réouverture en décembre 2026. Il est possible d'atteindre à ski de randonnée le col des Rachasses et le col des Grands Montets depuis le haut de la télécabine de Bochard ou du télésiège de la Herse mais attention le domaine skiable fermé n'est pas sécurisé.




",
104215,6.036396,45.1770669999959,Articol,"Grenoble, direction Bourg d'Oisans > Rochetaillee > Allemond > route du Col du Glandon. Articol (1000 m), sur la route, quelques kilomètres avant avant le Rivier.

Parkings :

* En contrebas de la route principale, au fond d'une route en cul-de-sac qui démarre à droite juste à l'entrée du village.
* Avant le village quand la route croise le ruisseau d'Articol",
104216,6.73956,44.7661799999959,Arvieux,"Gap >> Guillestre >> Arvieux.
Briançon >> Guillestre >> Arvieux (en hiver), possibilité de passer par le col d'Izoard en été.
## Hébergement, restauration et patrimoine culturel à proximité
Plusieurs gîtes d'étapes à Arvieux et à la Chalp comme le [Chalet Viso](http://chaletviso.com/).
",
104217,6.56378099999999,45.6847569999959,Arêches,Albertville >> Beaufort >> Arêches,
104218,6.77527799999999,46.1874999999959,Avoriaz,,
104219,7.080194,45.3001799999959,Hameau d'Avérole : Plan du Pré,"Remonter la vallée de la Maurienne jusqu'à [Bessans](http://www.bessans.com/), puis encore sur 1 km jusqu'au centre sportif la [Bessannaise](http://www.labessannaise.com/). De là, quitter la D902 pour la petite route à droite qui longe le Torrent d'Avérole en rive droite. On passe successivement aux hameaux ""La Goulaz"", ""Les Vincendières"" et finalement ""Avérole"". 




",
104221,6.94166300000001,46.050267999996,Barberine,"Depuis Chamonix, route sur la gauche 400 m avant le poste frontière du Châtelard.
Se parquer à la fin de la descente (env. 15-20 places); ensuite c'est une route ""bordiers autorisés"" uniquement.",
104222,6.831575,46.1488439999959,Barme,"Depuis Champéry, 15 km
## Hébergement, restauration et patrimoine culturel à proximité
2 cantines (auberges avec dortoirs) sur place",
104223,6.58099300000001,45.65104,Barrage de Saint Guérin,"##En hiver :
Arèches - Direction Saint Guérin jusqu'au lieu-dit Le Mappaz, terminus de la route déneigéee. Se garer en respectant les emplacements privés et l'aire de retournement des véhicules de secours.",
104224,6.47211100000001,45.2511889999959,Beaune,,
104225,5.756667,45.3191669999959,Bergeries du Charmant Som,,
104226,7.01116999999999,45.3290399999959,Bessans - La Bessannaise,"Chambéry > Modane > Lanslebourg > direction Col de l'Iseran. 1 km après [Bessans](http://www.bessans.com/), on arrive au centre sportif ""la Bessannaise""

## Hébergement, restauration et patrimoine culturel à proximité
Informations sur le [site officiel de Bessans](http://www.bessans.com).","Centre sportif [""la Bessannaise""](http://www.labessannaise.com/)"
